,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count,error
31,TAP,120.0,1.0,True,"[{'v': 158599886.0, 'vw': 51.2054, 'o': 50.96, 'c': 53.5, 'h': 56.28, 'l': 46.685, 't': 1662004800000, 'n': 2293933}]",OK,777327a2346be0bc7b9575831e27e0cb,1.0,
32,TAP,120.0,1.0,True,"[{'v': 170836918.0, 'vw': 51.626, 'o': 48.29, 'c': 50.7, 'h': 56.28, 'l': 46.685, 't': 1664596800000, 'n': 2453742}]",OK,b8ea331fb53c4ddec80c094310d7299a,1.0,
33,TAP,120.0,1.0,True,"[{'v': 185506016.0, 'vw': 52.6181, 'o': 50.35, 'c': 58.71, 'h': 59.26, 'l': 46.9, 't': 1667275200000, 'n': 2632656}]",OK,5178e122502cbabe475293e2c8dadaec,1.0,
34,TAP,120.0,1.0,True,"[{'v': 240311486.0, 'vw': 57.69, 'o': 50.55, 'c': 65.67, 'h': 68.13, 'l': 48.485, 't': 1672549200000, 'n': 3218355}]",OK,16bcc20fa5439ec2cd8a5d63d3ac3c22,1.0,
35,TAP,120.0,1.0,True,"[{'v': 247607380.0, 'vw': 60.0345, 'o': 52.4, 'c': 70.67, 'h': 70.7382, 'l': 49.32, 't': 1675227600000, 'n': 3287014}]",OK,6862cc1862b2b48ad021068eeab310d6,1.0,
36,TAP,120.0,1.0,True,"[{'v': 255480911.0, 'vw': 61.9304, 'o': 52.88, 'c': 62.78, 'h': 70.9, 'l': 49.32, 't': 1677646800000, 'n': 3405737}]",OK,8f7d914c631f3d36d5559a3b5f25a9a2,1.0,
37,TAP,120.0,1.0,True,"[{'v': 247201745.0, 'vw': 63.7097, 'o': 51.81, 'c': 63.4, 'h': 70.9, 'l': 51.45, 't': 1680321600000, 'n': 3326555}]",OK,d152f5f854d2b57dba62a99daef3587c,1.0,
38,TAP,120.0,1.0,True,"[{'v': 242219431.0, 'vw': 64.4123, 'o': 59.47, 'c': 58.34, 'h': 70.9, 'l': 57.34, 't': 1682913600000, 'n': 3296120}]",OK,ac84e37b0ae595d79df71c7267b136ba,1.0,
39,TAP,105.0,1.0,True,"[{'v': 191588839.0, 'vw': 64.4616, 'o': 61.51, 'c': 57.04, 'h': 70.9, 'l': 56.5, 't': 1685592000000, 'n': 2699209}]",OK,268dd76da6352b4b31085a75ec115e78,1.0,
40,TAP,84.0,1.0,True,"[{'v': 143993359.0, 'vw': 64.0154, 'o': 65.64, 'c': 57.04, 'h': 70.9, 'l': 56.5, 't': 1688184000000, 'n': 2086354}]",OK,a80c7cea56724a8482fd9f620cfe3c59,1.0,
41,TAP,64.0,1.0,True,"[{'v': 102142442.0, 'vw': 62.4634, 'o': 65.15, 'c': 57.04, 'h': 68.64, 'l': 56.5, 't': 1690862400000, 'n': 1565315}]",OK,76bb65c28b68dd23536cf5e738b0cb4f,1.0,
42,TAP,41.0,1.0,True,"[{'v': 61797609.0, 'vw': 61.1362, 'o': 63.57, 'c': 57.04, 'h': 65.31, 'l': 56.5, 't': 1693540800000, 'n': 962681}]",OK,ba2a61f5adbf1c90b06210a176786f24,1.0,
43,TAP,21.0,1.0,True,"[{'v': 34387495.0, 'vw': 59.2862, 'o': 63.52, 'c': 57.04, 'h': 63.84, 'l': 56.5, 't': 1696132800000, 'n': 544759}]",OK,220e3501e5b3c2408bd3c7c86bb9ad66,1.0,
44,COKE,120.0,1.0,True,"[{'v': 4290350.0, 'vw': 528.666, 'o': 404.99, 'c': 474.8, 'h': 638, 'l': 400.5855, 't': 1635739200000, 'n': 338860}]",OK,c37b983bd7d002363f88c270a465c29e,1.0,
45,COKE,120.0,1.0,True,"[{'v': 4898201.0, 'vw': 527.0292, 'o': 616.35, 'c': 551.82, 'h': 656.11, 'l': 420.34, 't': 1641013200000, 'n': 422823}]",OK,752038084ffec6bb6521286e6a3fbbab,1.0,
46,COKE,120.0,1.0,True,"[{'v': 6426679.0, 'vw': 516.5643, 'o': 576.65, 'c': 494.11, 'h': 656.11, 'l': 420.34, 't': 1643691600000, 'n': 460406}]",OK,8dbd2e6164e69e64f3301b6936b58b3b,1.0,
47,COKE,120.0,1.0,True,"[{'v': 6463730.0, 'vw': 514.2551, 'o': 491.77, 'c': 527.18, 'h': 656.11, 'l': 426.402, 't': 1646110800000, 'n': 458678}]",OK,6ca2d588281551a79e787fadfe13b1c4,1.0,
48,COKE,120.0,1.0,True,"[{'v': 6345015.0, 'vw': 511.8945, 'o': 502, 'c': 421.83, 'h': 656.11, 'l': 420.2097, 't': 1648785600000, 'n': 444723}]",OK,2f8b5c7174cf485dac718be2c001a3e8,1.0,
49,COKE,120.0,1.0,True,"[{'v': 6381374.0, 'vw': 505.4479, 'o': 443.77, 'c': 430.78, 'h': 656.11, 'l': 405.03, 't': 1651377600000, 'n': 444453}]",OK,9468b10e8e470ccba639535d2b5d2b55,1.0,
50,COKE,120.0,1.0,True,"[{'v': 6499636.0, 'vw': 499.1969, 'o': 562.8, 'c': 466.44, 'h': 656.11, 'l': 405.03, 't': 1654056000000, 'n': 421827}]",OK,6ab18a67d7742324bf5ddc5fc7ce3e91,1.0,
51,COKE,120.0,1.0,True,"[{'v': 6414870.0, 'vw': 487.5256, 'o': 558.24, 'c': 511.7, 'h': 597.485, 'l': 405.03, 't': 1656648000000, 'n': 380407}]",OK,a06351a296d70a5b1839e156c373af85,1.0,
52,COKE,120.0,1.0,True,"[{'v': 4850957.0, 'vw': 477.6951, 'o': 514.12, 'c': 483.42, 'h': 555.8239, 'l': 405.03, 't': 1659326400000, 'n': 337607}]",OK,5aabeba0df0050d3e40eb534acdf2ea1,1.0,
53,COKE,120.0,1.0,True,"[{'v': 4872410.0, 'vw': 479.3821, 'o': 476.89, 'c': 570.9, 'h': 576, 'l': 405.03, 't': 1662004800000, 'n': 334324}]",OK,a4b4653563be9f7f27985ca207eb6edd,1.0,
54,COKE,120.0,1.0,True,"[{'v': 4904729.0, 'vw': 495.7912, 'o': 416.1, 'c': 525.28, 'h': 579.85, 'l': 412.71, 't': 1664596800000, 'n': 342082}]",OK,5651dc17869a7d7a95fb0f67d7bc0ff5,1.0,
55,COKE,120.0,1.0,True,"[{'v': 4736854.0, 'vw': 508.36, 'o': 491.28, 'c': 560.45, 'h': 579.85, 'l': 450.85, 't': 1667275200000, 'n': 328820}]",OK,53eafa3f5029916008254c1576d23b63,1.0,
